,Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,# Pl Against,90s Against,Gls Against,Sh Against,SoT Against,SoT% Against,Sh/90 Against,SoT/90 Against,G/Sh Against,G/SoT Against,Dist Against,FK Against,PK Against,PKatt Against,xG Against,npxG Against,npxG/Sh Against,G-xG Against,np:G-xG Against,Squad-Season,xG per 90,xG Against per 90,G per 90,G Against per 90,G - xG per 90,Gc - xGc per 90
0,2017,Arsenal,30,38,73,590,227,38.5,15.53,5.97,0.12,0.3,17.4,30,4,5,68.4,64.6,0.11,4.6,4.4,30,38,51,419,142,33.9,11.03,3.74,0.11,0.32,16.6,12,5,6,50.5,46,0.11,0.5,0,Arsenal-2017,1.8,1.328947368,1.921052632,1.342105263,0.121052632,-0.013157895
1,2017,Bournemouth,22,38,45,473,153,32.3,12.45,4.03,0.09,0.27,17.5,13,3,3,44.8,42.5,0.09,0.2,-0.5,22,38,60,547,171,31.3,14.39,4.5,0.11,0.34,16.7,15,2,3,61.4,59.3,0.11,-1.4,-1.3,Bournemouth-2017,1.178947368,1.615789474,1.184210526,1.578947368,0.005263158,0.036842105
2,2017,Brighton,24,38,33,381,113,29.7,10.03,2.97,0.07,0.25,17.9,3,5,7,37.2,31.8,0.09,-4.2,-3.8,24,38,49,560,171,30.5,14.74,4.5,0.09,0.28,17.9,31,1,3,52.6,50.3,0.09,-3.6,-2.3,Brighton-2017,0.978947368,1.384210526,0.868421053,1.289473684,-0.110526316,0.094736842
3,2017,Burnley,24,38,35,388,126,32.5,10.21,3.32,0.09,0.28,15.9,16,0,0,34.5,34.5,0.09,0.5,0.5,24,38,38,569,160,28.1,14.97,4.21,0.06,0.22,17.9,13,3,5,51.8,48.3,0.09,-13.8,-13.3,Burnley-2017,0.907894737,1.363157895,0.921052632,1,0.013157895,0.363157895
4,2017,Chelsea,26,38,60,602,209,34.7,15.84,5.5,0.09,0.27,17.4,19,3,3,57.9,55.7,0.09,2.1,1.3,26,38,36,374,116,31,9.84,3.05,0.09,0.29,17.6,11,2,2,35.3,33.8,0.09,0.7,0.2,Chelsea-2017,1.523684211,0.928947368,1.578947368,0.947368421,0.055263158,-0.018421053
5,2017,Crystal Palace,28,38,44,466,133,28.5,12.26,3.5,0.08,0.27,17,20,8,10,56.1,48.9,0.11,-12.1,-12.9,28,38,53,467,167,35.8,12.29,4.39,0.11,0.31,16.8,21,2,2,50.6,49.1,0.11,2.4,1.9,Crystal Palace-2017,1.476315789,1.331578947,1.157894737,1.394736842,-0.318421053,-0.063157895
6,2017,Everton,30,38,42,359,108,30.1,9.45,2.84,0.1,0.34,16.9,8,5,8,41.5,35.2,0.1,0.5,1.8,30,38,58,541,175,32.3,14.24,4.61,0.1,0.31,18.1,19,3,5,52.3,48.8,0.09,5.7,6.2,Everton-2017,1.092105263,1.376315789,1.105263158,1.526315789,0.013157895,-0.15
7,2017,Huddersfield,25,38,25,362,105,29,9.53,2.76,0.06,0.22,18.1,13,2,2,31.7,30.2,0.09,-6.7,-7.2,25,38,57,440,153,34.8,11.58,4.03,0.12,0.35,16.5,19,4,6,55.2,50.5,0.12,1.8,2.5,Huddersfield-2017,0.834210526,1.452631579,0.657894737,1.5,-0.176315789,-0.047368421
8,2017,Leicester City,27,38,53,418,137,32.8,11,3.61,0.11,0.35,17,12,5,6,48.1,43.5,0.11,4.9,4.5,27,38,58,489,161,32.9,12.87,4.24,0.11,0.35,18,14,2,4,49.9,46.9,0.1,8.1,9.1,Leicester City-2017,1.265789474,1.313157895,1.394736842,1.526315789,0.128947368,-0.213157895
9,2017,Liverpool,27,38,82,642,228,35.5,16.89,6,0.12,0.35,17.1,22,2,3,72.8,70.5,0.11,9.2,9.5,27,38,38,273,96,35.2,7.18,2.53,0.12,0.35,17,10,4,6,34,29.5,0.11,4,4.5,Liverpool-2017,1.915789474,0.894736842,2.157894737,1,0.242105263,-0.105263158
10,2017,Manchester City,25,38,103,661,255,38.6,17.39,6.71,0.15,0.38,17.4,31,6,8,86.4,80.4,0.12,16.6,16.6,25,38,25,233,82,35.2,6.13,2.16,0.11,0.3,18,10,0,2,22.8,21.3,0.09,2.2,3.7,Manchester City-2017,2.273684211,0.6,2.710526316,0.657894737,0.436842105,-0.057894737
11,2017,Manchester Utd,27,38,67,513,176,34.3,13.5,4.63,0.13,0.38,17.6,22,1,3,60.7,58.2,0.12,6.3,7.8,27,38,26,443,143,32.3,11.66,3.76,0.06,0.17,17.2,10,1,1,41.7,41,0.09,-15.7,-16,Manchester Utd-2017,1.597368421,1.097368421,1.763157895,0.684210526,0.165789474,0.413157895
12,2017,Newcastle Utd,27,38,38,451,152,33.7,11.87,4,0.08,0.25,18.4,19,0,1,45.3,44.5,0.1,-7.3,-6.5,27,38,44,472,145,30.7,12.42,3.82,0.08,0.28,16.6,13,4,6,53.4,48.7,0.11,-9.4,-8.7,Newcastle Utd-2017,1.192105263,1.405263158,1,1.157894737,-0.192105263,0.247368421
13,2017,Southampton,26,38,36,448,138,30.8,11.79,3.63,0.07,0.24,17.7,11,3,3,42.1,39.9,0.09,-6.1,-6.9,26,38,56,498,165,33.1,13.11,4.34,0.11,0.33,18.1,20,1,2,48.8,47.3,0.1,7.2,7.7,Southampton-2017,1.107894737,1.284210526,0.947368421,1.473684211,-0.160526316,-0.189473684
14,2017,Stoke City,30,38,34,390,122,31.3,10.26,3.21,0.09,0.28,17.5,11,0,3,37.5,35.3,0.09,-3.5,-1.3,30,38,66,575,212,36.9,15.13,5.58,0.11,0.29,17.1,26,5,5,63.8,60,0.11,2.2,1,Stoke City-2017,0.986842105,1.678947368,0.894736842,1.736842105,-0.092105263,-0.057894737
15,2017,Swansea City,26,38,27,337,94,27.9,8.87,2.47,0.08,0.28,17.5,15,1,1,30.5,29.8,0.09,-3.5,-3.8,26,38,54,539,182,33.8,14.18,4.79,0.09,0.28,17.1,16,3,6,59.5,54.8,0.1,-5.5,-3.8,Swansea City-2017,0.802631579,1.565789474,0.710526316,1.421052632,-0.092105263,0.144736842
16,2017,Tottenham,25,38,70,625,212,33.9,16.45,5.58,0.11,0.32,17.4,27,2,3,67.3,65,0.11,2.7,3,25,38,35,361,123,34.1,9.5,3.24,0.09,0.27,16.4,10,2,3,35,32.7,0.09,0,0.3,Tottenham-2017,1.771052632,0.921052632,1.842105263,0.921052632,0.071052632,0
17,2017,Watford,29,38,42,437,128,29.3,11.5,3.37,0.09,0.3,17.1,9,3,6,47.4,42.6,0.1,-5.4,-3.6,29,38,63,413,151,36.6,10.87,3.97,0.14,0.38,16.5,17,6,6,57.9,53.4,0.13,5.1,3.6,Watford-2017,1.247368421,1.523684211,1.105263158,1.657894737,-0.142105263,-0.134210526
18,2017,West Brom,24,38,31,383,106,27.7,10.08,2.79,0.08,0.28,16.9,15,1,1,34.4,33.7,0.09,-3.4,-3.7,24,38,54,515,155,30.1,13.55,4.08,0.1,0.34,18.2,27,1,1,48.5,47.7,0.09,5.5,5.3,West Brom-2017,0.905263158,1.276315789,0.815789474,1.421052632,-0.089473684,-0.144736842
19,2017,West Ham,27,38,48,369,128,34.7,9.71,3.37,0.12,0.36,17.4,17,2,4,39.8,36.8,0.1,8.2,9.2,27,38,67,567,180,31.7,14.92,4.74,0.11,0.34,18.1,19,5,6,59.3,54.6,0.1,7.7,7.4,West Ham-2017,1.047368421,1.560526316,1.263157895,1.763157895,0.215789474,-0.202631579
20,2018,Arsenal,28,38,69,467,159,34,12.29,4.18,0.14,0.41,16.2,11,4,5,58.8,54.9,0.12,10.2,10.1,28,38,49,486,173,35.6,12.79,4.55,0.09,0.24,17.8,18,7,7,53.9,48.6,0.1,-4.9,-6.6,Arsenal-2018,1.547368421,1.418421053,1.815789474,1.289473684,0.268421053,0.128947368
21,2018,Bournemouth,28,38,55,438,153,34.9,11.53,4.03,0.11,0.31,16.4,15,7,9,54.2,47.3,0.11,0.8,0.7,28,38,67,518,167,32.2,13.63,4.39,0.12,0.37,17.3,18,5,5,55.9,52.1,0.1,11.1,9.9,Bournemouth-2018,1.426315789,1.471052632,1.447368421,1.763157895,0.021052632,-0.292105263
22,2018,Brighton,21,38,35,365,99,27.1,9.61,2.61,0.08,0.3,17,12,5,6,34.3,29.7,0.08,0.7,0.3,21,38,60,563,158,28.1,14.82,4.16,0.09,0.32,17.4,27,10,10,55.6,48.1,0.09,4.4,1.9,Brighton-2018,0.902631579,1.463157895,0.921052632,1.578947368,0.018421053,-0.115789474
23,2018,Burnley,23,38,43,358,114,31.8,9.42,3,0.11,0.36,15,14,2,2,41,39.5,0.11,2,1.5,23,38,64,653,196,30,17.18,5.16,0.09,0.32,17.1,13,2,3,63.7,61.4,0.1,0.3,0.6,Burnley-2018,1.078947368,1.676315789,1.131578947,1.684210526,0.052631579,-0.007894737
24,2018,Cardiff City,25,38,33,416,112,26.9,10.95,2.95,0.07,0.27,17,13,3,4,39.7,36.6,0.09,-6.7,-6.6,25,38,69,559,201,36,14.71,5.29,0.12,0.32,16.9,22,4,7,62.4,57.1,0.1,6.6,7.9,Cardiff City-2018,1.044736842,1.642105263,0.868421053,1.815789474,-0.176315789,-0.173684211
25,2018,Chelsea,24,38,61,599,190,31.7,15.76,5,0.09,0.29,17.3,30,5,5,58.6,54.8,0.09,2.4,1.2,24,38,39,346,121,35,9.11,3.18,0.11,0.31,16.9,9,1,2,34.8,33.2,0.1,4.2,4.8,Chelsea-2018,1.542105263,0.915789474,1.605263158,1.026315789,0.063157895,-0.110526316
26,2018,Crystal Palace,26,38,48,488,135,27.7,12.84,3.55,0.08,0.28,17,16,10,11,51.4,43.5,0.09,-3.4,-5.5,26,38,52,522,158,30.3,13.74,4.16,0.09,0.3,17.5,20,4,5,48.8,45.2,0.09,3.2,2.8,Crystal Palace-2018,1.352631579,1.284210526,1.263157895,1.368421053,-0.089473684,-0.084210526
27,2018,Everton,23,38,53,491,159,32.4,12.92,4.18,0.1,0.32,16.1,20,2,5,48.5,44.5,0.09,4.5,6.5,23,38,44,396,131,33.1,10.42,3.45,0.11,0.32,17,17,2,5,47.2,43.2,0.11,-3.2,-1.2,Everton-2018,1.276315789,1.242105263,1.394736842,1.157894737,0.118421053,0.084210526
28,2018,Fulham,28,38,33,442,135,30.5,11.63,3.55,0.07,0.23,18.3,10,2,3,38.8,36.6,0.08,-5.8,-5.6,28,38,79,586,222,37.9,15.42,5.84,0.13,0.33,16.4,16,5,7,65.8,60.4,0.1,13.2,13.6,Fulham-2018,1.021052632,1.731578947,0.868421053,2.078947368,-0.152631579,-0.347368421
29,2018,Huddersfield,31,38,20,397,115,29,10.45,3.03,0.05,0.17,18.2,15,1,1,29.1,28.3,0.07,-9.1,-9.3,31,38,75,513,177,34.5,13.5,4.66,0.13,0.38,16.6,24,7,8,63.5,57.5,0.11,11.5,10.5,Huddersfield-2018,0.765789474,1.671052632,0.526315789,1.973684211,-0.239473684,-0.302631579
30,2018,Leicester City,25,38,48,508,173,34.1,13.37,4.55,0.08,0.25,17.8,18,5,7,50,44.8,0.09,-2,-1.8,25,38,48,428,133,31.1,11.26,3.5,0.1,0.32,17.5,18,5,5,45.4,41.7,0.1,2.6,1.3,Leicester City-2018,1.315789474,1.194736842,1.263157895,1.263157895,-0.052631579,-0.068421053
31,2018,Liverpool,23,38,86,571,214,37.5,15.03,5.63,0.14,0.37,16.3,20,7,7,74.7,69.4,0.12,11.3,9.6,23,38,22,307,96,31.3,8.08,2.53,0.07,0.23,17.6,9,0,1,31.2,30.4,0.1,-9.2,-8.4,Liverpool-2018,1.965789474,0.821052632,2.263157895,0.578947368,0.297368421,0.242105263
32,2018,Manchester City,21,38,91,676,250,37,17.79,6.58,0.13,0.35,16.3,21,3,4,83.6,80.6,0.12,7.4,7.4,21,38,23,239,79,33.1,6.29,2.08,0.08,0.24,17.4,9,4,4,24.9,22.2,0.09,-1.9,-3.2,Manchester City-2018,2.2,0.655263158,2.394736842,0.605263158,0.194736842,0.05
33,2018,Manchester Utd,28,38,65,513,210,40.9,13.5,5.53,0.11,0.27,18.2,27,9,12,58.3,49.1,0.1,6.7,6.9,28,38,51,490,169,34.5,12.89,4.45,0.09,0.27,17.9,20,6,6,46.6,42.1,0.09,4.4,2.9,Manchester Utd-2018,1.534210526,1.226315789,1.710526316,1.342105263,0.176315789,-0.115789474
34,2018,Newcastle Utd,24,38,41,436,136,31.2,11.47,3.58,0.09,0.29,18,16,1,3,39.4,37.1,0.09,1.6,2.9,24,38,47,487,133,27.3,12.82,3.5,0.08,0.31,16,31,6,6,53.5,49.1,0.1,-6.5,-8.1,Newcastle Utd-2018,1.036842105,1.407894737,1.078947368,1.236842105,0.042105263,0.171052632
35,2018,Southampton,30,38,44,485,156,32.2,12.76,4.11,0.08,0.26,18.1,20,4,5,47.1,43.5,0.09,-3.1,-3.5,30,38,62,520,172,33.1,13.68,4.53,0.12,0.35,16.8,12,2,3,55.9,53.6,0.1,6.1,6.4,Southampton-2018,1.239473684,1.471052632,1.157894737,1.631578947,-0.081578947,-0.160526316
36,2018,Tottenham,28,38,66,536,187,34.9,14.11,4.92,0.12,0.33,17.1,23,4,4,58.6,55.6,0.11,7.4,6.4,28,38,36,458,147,32.1,12.05,3.87,0.07,0.22,16.4,13,3,5,45.6,41.6,0.09,-9.6,-8.6,Tottenham-2018,1.542105263,1.2,1.736842105,0.947368421,0.194736842,0.252631579
37,2018,Watford,25,38,51,436,150,34.4,11.47,3.95,0.11,0.33,16.6,22,1,1,47.9,47.2,0.11,3.1,2.8,25,38,56,483,171,35.4,12.71,4.5,0.11,0.3,16.2,18,4,5,55.5,51.7,0.11,0.5,0.3,Watford-2018,1.260526316,1.460526316,1.342105263,1.473684211,0.081578947,-0.013157895
38,2018,West Ham,26,38,51,438,148,33.8,11.53,3.89,0.11,0.31,16.6,17,5,5,47.7,44,0.1,3.3,2,26,38,54,518,192,37.1,13.63,5.05,0.1,0.26,16.4,19,4,5,62.1,58.3,0.12,-8.1,-8.3,West Ham-2018,1.255263158,1.634210526,1.342105263,1.421052632,0.086842105,0.213157895
39,2018,Wolves,21,38,46,469,140,29.9,12.34,3.68,0.09,0.3,17.2,12,4,4,49,45.9,0.1,-3,-3.9,21,38,42,457,139,30.4,12.03,3.66,0.09,0.28,18.3,19,3,4,38.6,35.6,0.08,3.4,3.4,Wolves-2018,1.289473684,1.015789474,1.210526316,1.105263158,-0.078947368,-0.089473684
40,2019,Arsenal,29,38,56,401,144,35.9,10.55,3.79,0.13,0.37,15.9,19,3,3,49.2,46.9,0.12,6.8,6.1,29,38,48,545,189,34.7,14.34,4.97,0.08,0.22,17.5,17,7,8,56.6,50.4,0.09,-8.6,-9.4,Arsenal-2019,1.294736842,1.489473684,1.473684211,1.263157895,0.178947368,0.226315789
41,2019,Aston Villa,28,38,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,1,3,40.1,37.7,0.08,-0.1,1.3,28,38,66,602,175,29.1,15.84,4.61,0.1,0.35,16.1,21,5,6,65.9,61.3,0.1,0.1,-0.3,Aston Villa-2019,1.055263158,1.734210526,1.052631579,1.736842105,-0.002631579,-0.002631579
42,2019,Bournemouth,27,38,38,384,116,30.2,10.11,3.05,0.09,0.29,16.4,21,4,4,42.7,39.7,0.1,-4.7,-5.7,27,38,65,546,182,33.3,14.37,4.79,0.11,0.33,17.3,15,5,6,57.5,53,0.1,7.5,7,Bournemouth-2019,1.123684211,1.513157895,1,1.710526316,-0.123684211,-0.197368421
43,2019,Brighton,25,38,35,456,137,30,12,3.61,0.07,0.25,17.1,11,1,2,41.2,39.7,0.09,-6.2,-5.7,25,38,52,497,164,33,13.08,4.32,0.1,0.3,15.8,20,2,2,54.5,52.9,0.11,-2.5,-2.9,Brighton-2019,1.084210526,1.434210526,0.921052632,1.368421053,-0.163157895,0.065789474
44,2019,Burnley,22,38,41,384,124,32.3,10.11,3.26,0.1,0.31,15.7,17,3,3,43.9,41.6,0.11,-2.9,-3.6,22,38,49,535,159,29.7,14.08,4.18,0.08,0.28,17.5,21,4,5,48.3,44.5,0.08,0.7,0.5,Burnley-2019,1.155263158,1.271052632,1.078947368,1.289473684,-0.076315789,-0.018421053
45,2019,Chelsea,27,38,69,619,210,33.9,16.29,5.53,0.1,0.3,16.2,27,7,7,66.6,61.7,0.1,2.4,0.3,27,38,51,316,115,36.4,8.32,3.03,0.16,0.43,16.2,15,2,2,37.9,36.4,0.12,13.1,12.6,Chelsea-2019,1.752631579,0.997368421,1.815789474,1.342105263,0.063157895,-0.344736842
46,2019,Crystal Palace,25,38,29,372,116,31.2,9.79,3.05,0.07,0.22,16.5,15,3,3,34,31.9,0.09,-5,-5.9,25,38,48,507,169,33.3,13.34,4.45,0.09,0.28,16.7,23,0,1,51.3,50.6,0.1,-3.3,-2.6,Crystal Palace-2019,0.894736842,1.35,0.763157895,1.263157895,-0.131578947,0.086842105
47,2019,Everton,24,38,42,465,155,33.3,12.24,4.08,0.09,0.26,15.7,20,1,1,49.3,48.5,0.11,-7.3,-7.5,24,38,53,427,145,34,11.24,3.82,0.12,0.34,16.5,23,3,4,48.4,45.4,0.11,4.6,4.6,Everton-2019,1.297368421,1.273684211,1.105263158,1.394736842,-0.192105263,-0.121052632
